rozetka_row_id;site_category_id;site_category_name;site_category_visible;site_parent_id;rozetka_parent_id;rozetka_category_name;rozetka_exclude;products_count
4699;4672313;;;;4672303;"Жіночі хутряні жилетки";0;0
4695;4672323;;;;1162060;"Жіночий гірськолижний одяг";0;0
5654;4672328;;;;83850;"Знижені в ціні товари для реабілітації та людей з інвалідністю";0;0
5132;4672333;;;;4648134;"Панно та барельєфи";0;0
4698;4672373;;;;4672323;"Жіночі лижні куртки";0;0
4697;4672378;;;;4672323;"Жіночі лижні комбінезони";0;0
5273;4672388;;;;169823;Простирадла;0;0
5510;4672393;;;;200643;Терморегулятори;0;0
5055;4672398;;;;200643;"Нагрівальні кабелі";0;0
5056;4672403;;;;200643;"Нагрівальні мати";0;0
4786;4672408;;;;200643;"Інфрачервона тепла підлога";0;0
4861;4672413;;;;200643;"Комплектуючі для теплої підлоги";0;0
4842;4672418;;;;200643;"Килимки з підігрівом";0;0
4785;4672423;;;;4627851;"Інформаційно-рекламне обладнання";0;0
4378;4672438;;;;80185;"Аксесуари для духових шаф";0;0
4374;4672443;;;;80185;"Аксесуари для варильних поверхонь";0;0
4383;4672448;;;;80185;"Аксесуари для кухонних витяжок";0;0
4691;4672458;;;;4626614;"Ємності для олії або оцту";0;0
4597;4672463;;;;4641696;"Гравірувальні верстати";0;0
5382;4672468;;;;80263;"Сенсорні рукавички";0;0
5410;4672473;;;;80263;Смарт-брелоки;0;0
5260;4672478;;;;297931;"Програвачі вінілу та аксесуари";0;0
4344;4672483;;;;80254;"3D пристрої та аксесуари";0;0
4748;4672493;;;;4672483;"Запчастини і комплектуючі до 3D пристроїв";0;0
5476;4672498;;;;152462;"Таймери для поливу";0;0
5043;4672503;;;;152462;"Набори для крапельного поливу";0;0
4800;4672508;;;;4671521;"Караоке-системи та приставки";0;0
5397;4672518;;;;4625256;"Системи виклику персоналу";0;0
5655;4672523;;;;83850;"Знижені в ціні товари медичного призначення";0;0
4453;4672528;;;;80079;Барометри;0;0
4604;4672533;;;;80100;Гучномовці;0;0
5154;4672538;;;;4659755;"Друк на полотні";0;0
4880;4672543;;;;4625433;"Компресійний одяг";0;0
5131;4672548;;;;4653887;"Панелі оператора";0;0
5686;4672553;;;;4630262;Фотопослуги;0;0
5156;4672558;;;;4672553;"Друк фото";0;0
5465;4672603;;;;4625234;"Студійні стійки, кріплення, тримачі";0;0
4361;4672618;;;;4625234;"Адаптери і перехідники для фототехніки";0;0
4596;4672623;;;;155018;Граблі;0;0
5342;4672628;;;;155018;"Ручні культиватори";0;0
4969;4672633;;;;155018;Лопати;0;0
4514;4672643;;;;155018;Вила;0;0
5376;4672648;;;;155018;Секатори;0;0
5718;4672653;;;;155018;"Держаки для садового інструменту";0;0
5567;4672658;;;;155018;Сапи;0;0
5532;4672663;;;;155018;Сокири;0;0
5048;4672668;;;;155018;"Набори садових інструментів";0;0
5341;4672673;;;;155018;"Ручні коси";0;0
5470;4672678;;;;155018;Гілкорізи;0;0
5159;4672683;;;;155018;"Пили садові";0;0
5354;4672693;;;;155018;"Садові ножиці";0;0
5353;4672698;;;;155018;"Садові ножі";0;0
5355;4672703;;;;155018;"Садові совки";0;0
4866;4672708;;;;4648566;"Комплектуючі до причепів";0;0
5373;4672713;;;;4672708;"Світлотехніка й електрика причепів";0;0
4710;4672718;;;;277644;"Задні ліхтарі причепів";0;0
4892;4672723;;;;277644;"Контурно-габаритні ліхтарі";0;0
4718;4672728;;;;277644;"Запасне скло ліхтарів причепів";0;0
5372;4672733;;;;277644;"Світловідбивачі та проблискові маячки";0;0
5295;4672738;;;;4672713;"Роз'єми, подовжувачі та перетворювачі для причепів";0;0
4404;4672743;;;;4672713;"Аксесуари та приладдя світлотехніки причепів";0;0
4523;4672748;;;;4642704;"Внутрішнє дообладнання фургона";0;0
4422;4672753;;;;4642704;"Амортизатори капота і багажника";0;0
4917;4672758;;;;3803561;"Кріплення для проводів";0;0
4497;4672768;;;;2798812;Валики;0;0
4818;4672778;;;;2798812;"Кельми і ковші";0;0
4827;4672783;;;;2798812;"Пензлі малярні";0;0
4931;4672788;;;;2798812;Кюветки;0;0
5507;4672793;;;;2798812;"Терки будівельні";0;0
5748;4672798;;;;2798812;Шпателі;0;0
4765;4672803;;;;4630542;"Дзеркала телескопічні";0;0
4797;4672808;;;;4653880;"Камери для шин";0;0
4667;4672823;;;;4674031;"Диски зчеплення, кошики зчеплення та комплекти";0;0
4386;4672828;;;;4625959;"Аксесуари для мультиварок та пароварок";0;0
